Letter,pinky_shape,pinky_angle,ring_finger_shape,ring_finger_angle,middle_finger_shape,middle_finger_angle,index_finger_shape,index_finger_angle,thumb_shape,thumb_angle,thumb_is_opposed,thumb_contacts_pinky,thumb_contacts_ring_finger,thumb_contacts_middle_finger,thumb_contacts_index_finger
A,bent,closed,bent,closed,bent,closed,bent,closed,bent,closed,FAUX,FAUX,FAUX,FAUX,VRAI
B,flat,open,flat,open,flat,open,flat,open,bent,closed,VRAI,FAUX,FAUX,FAUX,FAUX
C,curved,semiclosed,curved,semiclosed,curved,semiclosed,curved,semiclosed,curved,semiclosed,TRUE,FALSE,FALSE,FALSE,FALSE
D,bent,open,bent,open,bent,open,flat,open,curved,semiclosed,TRUE,FALSE,FALSE,FALSE,TRUE
E,bent,open,bent,open,bent,open,bent,open,bent,closed,TRUE,FALSE,TRUE,TRUE,TRUE
F,flat,open,flat,open,flat,open,curved,semiclosed,curved,open,TRUE,FALSE,FALSE,FALSE,TRUE
G,bent,semiclosed,bent,semiclosed,bent,semiclosed,flat,open,bent,closed,TRUE,FALSE,TRUE,TRUE,FALSE
H,bent,semiclosed,bent,semiclosed,flat,open,flat,open,bent,closed,TRUE,FALSE,TRUE,FALSE,FALSE
I,flat,open,bent,closed,bent,closed,bent,closed,bent,closed,FALSE,FALSE,FALSE,FALSE,TRUE
K,curved,closed,curved,closed,flat,open,flat,open,flat,closed,TRUE,FALSE,FALSE,FALSE,TRUE
L,bent,semiclosed,bent,semiclosed,bent,semiclosed,flat,open,flat,open,TRUE,FALSE,FALSE,FALSE,FALSE
M,curved,closed,curved,closed,curved,closed,curved,closed,flat,closed,TRUE,TRUE,TRUE,TRUE,TRUE
N,curved,closed,curved,closed,curved,closed,curved,closed,flat,closed,TRUE,FALSE,TRUE,TRUE,TRUE
O,curved,semiclosed,curved,semiclosed,curved,semiclosed,curved,semiclosed,curved,semiclosed,TRUE,FALSE,FALSE,FALSE,TRUE
P,bent,closed,bent,closed,flat,closed,flat,closed,curved,semiclosed,TRUE,FALSE,FALSE,TRUE,FALSE
Q,bent,closed,bent,closed,bent,closed,flat,closed,flat,open,TRUE,FALSE,FALSE,FALSE,FALSE
R,curved,closed,curved,closed,flat,open,flat,open,flat,closed,TRUE,FALSE,TRUE,FALSE,FALSE
S,bent,closed,bent,closed,bent,closed,bent,closed,bent,closed,TRUE,FALSE,FALSE,TRUE,TRUE
T,bent,closed,bent,closed,bent,closed,bent,closed,flat,closed,TRUE,FALSE,FALSE,TRUE,TRUE
U,curved,closed,curved,closed,flat,open,flat,open,curved,closed,TRUE,TRUE,TRUE,FALSE,FALSE
V,curved,closed,curved,closed,flat,open,flat,open,curved,closed,TRUE,TRUE,TRUE,FALSE,FALSE
W,curved,closed,flat,open,flat,open,flat,open,curved,closed,TRUE,TRUE,FALSE,FALSE,FALSE
X,bent,closed,bent,closed,bent,closed,curved,open,curved,semiclosed,TRUE,FALSE,FALSE,TRUE,FALSE
Y,flat,open,curved,closed,curved,closed,curved,closed,flat,open,FALSE,FALSE,FALSE,FALSE,FALSE
